2024-11-27 20:49:09,765 INFO    MainThread:12212 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_setup.py:_flush():79] Configure stats pid to 12212
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_setup.py:_flush():79] Loading settings from C:\Users\omare\.config\wandb\settings
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_setup.py:_flush():79] Loading settings from C:\Users\omare\Desktop\mlx projects\audio_everything\wandb\settings
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'training.py', 'program_abspath': 'c:\\Users\\omare\\Desktop\\mlx projects\\audio_everything\\training.py', 'program': 'c:\\Users\\omare\\Desktop\\mlx projects\\audio_everything\\training.py'}
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\omare\Desktop\mlx projects\audio_everything\wandb\run-20241127_204909-isxw8rdh\logs\debug.log
2024-11-27 20:49:09,766 INFO    MainThread:12212 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\omare\Desktop\mlx projects\audio_everything\wandb\run-20241127_204909-isxw8rdh\logs\debug-internal.log
2024-11-27 20:49:09,767 INFO    MainThread:12212 [wandb_init.py:init():619] calling init triggers
2024-11-27 20:49:09,767 INFO    MainThread:12212 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-27 20:49:09,767 INFO    MainThread:12212 [wandb_init.py:init():669] starting backend
2024-11-27 20:49:09,767 INFO    MainThread:12212 [wandb_init.py:init():673] sending inform_init request
2024-11-27 20:49:09,769 INFO    MainThread:12212 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-27 20:49:09,770 INFO    MainThread:12212 [wandb_init.py:init():686] backend started and connected
2024-11-27 20:49:09,774 INFO    MainThread:12212 [wandb_init.py:init():781] updated telemetry
2024-11-27 20:49:09,808 INFO    MainThread:12212 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-27 20:49:10,139 INFO    MainThread:12212 [wandb_init.py:init():867] starting run threads in backend
2024-11-27 20:49:10,243 INFO    MainThread:12212 [wandb_run.py:_console_start():2456] atexit reg
2024-11-27 20:49:10,243 INFO    MainThread:12212 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-27 20:49:10,244 INFO    MainThread:12212 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-27 20:49:10,244 INFO    MainThread:12212 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-27 20:49:10,246 INFO    MainThread:12212 [wandb_init.py:init():911] run started, returning control to user process
2024-11-27 20:49:22,654 INFO    MainThread:12212 [wandb_run.py:_finish():2155] finishing run omareweis123/audio_transcription/isxw8rdh
2024-11-27 20:49:22,654 INFO    MainThread:12212 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-27 20:49:22,655 INFO    MainThread:12212 [wandb_run.py:_restore():2402] restore
2024-11-27 20:49:22,655 INFO    MainThread:12212 [wandb_run.py:_restore():2408] restore done
2024-11-27 20:49:24,410 INFO    MainThread:12212 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-27 20:49:24,410 INFO    MainThread:12212 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-27 20:49:24,420 INFO    MainThread:12212 [wandb_run.py:_footer_sync_info():3921] logging synced files
